id,reference,color,country,region,appellation,vintage,grapes,alcohol_percent,bottle_size_l,sweetness,tannin,acidity,rating,price_eur,producer,stock_quantity
1,WN-1995-RHO-0001-IVU,orange,France,Rhone,Cote-Rotie,1995,Tempranillo,14.7,1.5,sweet,5,1,91.8,8.02,Chateau Riou,55
2,WN-2017-RIO-0002-D4V,white,Spain,Rioja,Rioja DOCa,2017,"Merlot, Albarino",14.5,0.75,off-dry,2,2,99.1,36.98,Chateau Marie,97
3,WN-2004-RIA-0003-KCI,white,Spain,Rias Baixas,Rias Baixas DO,2004,Cabernet Sauvignon,12.5,1.5,sweet,3,5,83.8,11.61,Bodegas Laurent,197
4,WN-2020-RIB-0004-QJ7,orange,Spain,Ribera del Duero,Ribera del Duero DO,2020,"Albarino, Sangiovese",12.8,1.5,off-dry,1,5,92.7,55.74,Bodegas Traore,41
5,WN-1994-KAK-0005-JIU,red,Georgia,Kakheti,Kakheti PDO,1994,Rkatsiteli,13.0,0.375,dry,5,3,84.3,52.43,Marani Paris,36
6,WN-2003-RIA-0006-CN9,orange,Spain,Rias Baixas,Rias Baixas DO,2003,Tempranillo,13.5,0.375,dry,1,2,92.5,80.25,Estate Moulin,152
7,WN-1987-TUS-0007-SG6,orange,Italy,Tuscany,Bolgheri,1987,"Cabernet Sauvignon, Riesling, Rkatsiteli",11.6,0.75,dry,4,1,99.1,88.21,Cantina Hubert,248
8,WN-2003-SIC-0008-93I,white,Italy,Sicily,Etna,2003,Cabernet Sauvignon,15.8,1.5,dry,5,3,89.8,15.63,Winery Joly,224
9,WN-1984-BOR-0009-L9X,red,France,Bordeaux,Medoc,1984,"Tempranillo, Malbec, Gewurztraminer",15.7,0.375,off-dry,5,5,88.5,25.12,Bodegas Gallet,182
10,WN-1994-RIO-0010-CBL,orange,Spain,Rioja,Rioja DOCa,1994,Rkatsiteli,11.1,1.5,dry,5,2,80.1,72.24,Maison Henry,58
11,WN-1993-KAK-0011-Q0Y,orange,Georgia,Kakheti,Kakheti PDO,1993,"Tempranillo, Muscadet, Zinfandel",13.4,0.75,off-dry,2,1,81.9,45.95,Estate Labbé,105
12,WN-2001-RHO-0012-34D,orange,France,Rhone,Chateauneuf-du-Pape,2001,Semillon,12.0,1.5,off-dry,2,4,83.7,48.95,Chateau Traore,113
13,WN-1990-BOR-0013-P89,orange,France,Bordeaux,Pomerol,1990,"Gewurztraminer, Malbec",12.1,0.75,dry,2,4,80.0,42.09,Marani Morvan,73
14,WN-1998-RIO-0014-8CG,orange,Spain,Rioja,Rioja DOCa,1998,Grenache,13.9,1.5,dry,3,1,81.0,50.29,Domaine Fernandez,14
15,WN-1987-ALS-0015-ZIO,orange,France,Alsace,Alsace AOC,1987,"Semillon, Muscadet, Grenache",14.1,0.75,sweet,5,5,90.5,93.8,Bodegas Maury,171
16,WN-1984-VEN-0016-CIK,red,Italy,Veneto,Valpolicella,1984,Chenin Blanc,14.1,1.5,dry,1,5,84.3,30.19,Winery Briand,225
17,WN-2015-TUS-0017-Y4S,red,Italy,Tuscany,Bolgheri,2015,"Pinot Gris, Tempranillo",12.3,0.375,sweet,5,2,85.4,62.46,Winery David,52
18,WN-1997-BOR-0018-AC5,white,France,Bordeaux,Medoc,1997,Merlot,12.7,0.375,sweet,3,2,94.8,57.41,Estate Martinez,143
19,WN-2007-JUR-0019-WF7,white,France,Jura,Arbois,2007,Grenache,12.5,0.375,off-dry,2,2,93.3,38.6,Estate Morin,249
20,WN-1991-KAK-0020-K2I,white,Georgia,Kakheti,Kakheti PDO,1991,"Rkatsiteli, Nebbiolo, Semillon",12.3,1.5,dry,4,1,97.2,26.13,Marani Carpentier,89
21,WN-1997-KAK-0021-U9B,orange,Georgia,Kakheti,Kakheti PDO,1997,Riesling,12.8,1.5,off-dry,5,3,98.8,15.96,Cantina Rey,45
22,WN-2007-RIB-0022-P87,orange,Spain,Ribera del Duero,Ribera del Duero DO,2007,"Sauvignon Blanc, Pinot Gris, Syrah",15.5,0.375,off-dry,1,4,80.0,92.93,Bodegas Bodin,93
23,WN-1999-TUS-0023-UO4,red,Italy,Tuscany,Bolgheri,1999,"Pinot Noir, Nebbiolo, Rkatsiteli",13.0,0.75,sweet,2,2,88.4,94.33,Domaine Marion,157
24,WN-2017-SIC-0024-DSW,red,Italy,Sicily,Nero d'Avola IGT,2017,"Malbec, Rkatsiteli, Chenin Blanc",13.2,1.5,dry,5,4,95.9,96.18,Domaine Michel,168
25,WN-1994-ALS-0025-ZRI,orange,France,Alsace,Alsace AOC,1994,Tempranillo,11.1,0.375,off-dry,5,1,89.1,89.18,Bodegas Guilbert,183
26,WN-1994-BOR-0026-1P3,orange,France,Bordeaux,Medoc,1994,Sauvignon Blanc,13.3,1.5,dry,1,4,82.7,49.14,Winery Philippe,243
27,WN-1990-RIA-0027-KJL,orange,Spain,Rias Baixas,Rias Baixas DO,1990,"Gewurztraminer, Chenin Blanc, Riesling",14.8,1.5,off-dry,5,4,92.5,31.09,Chateau Auger,182
28,WN-1994-LOI-0028-6VZ,orange,France,Loire,Muscadet,1994,"Tempranillo, Chardonnay",11.3,0.75,off-dry,5,4,88.3,24.65,Estate Delahaye,99
29,WN-2002-RIB-0029-NY2,orange,Spain,Ribera del Duero,Ribera del Duero DO,2002,"Syrah, Nebbiolo",13.7,1.5,sweet,5,2,89.8,30.93,Marani Boutin,7
30,WN-2019-KAK-0030-LQM,red,Georgia,Kakheti,Kakheti PDO,2019,"Merlot, Syrah, Muscadet",13.8,0.375,dry,4,2,97.3,22.26,Cantina Morvan,97
31,WN-1985-VEN-0031-AFE,orange,Italy,Veneto,Valpolicella,1985,"Merlot, Cabernet Sauvignon",11.3,0.75,dry,1,1,95.1,95.21,Bodegas Humbert,214
32,WN-2009-BUR-0032-LY8,red,France,Burgundy,Maconnais,2009,"Riesling, Sangiovese, Albarino",14.0,1.5,sweet,1,2,99.3,15.27,Maison Vasseur,237
33,WN-1986-KAK-0033-43D,red,Georgia,Kakheti,Kakheti PDO,1986,"Pinot Noir, Zinfandel, Pinot Gris",15.0,1.5,dry,3,5,88.6,40.2,Winery Pons,3
34,WN-2007-RIA-0034-43D,red,Spain,Rias Baixas,Rias Baixas DO,2007,Sauvignon Blanc,15.8,0.75,sweet,5,4,89.3,83.44,Cantina Pruvost,82
35,WN-2001-KAK-0035-A8D,orange,Georgia,Kakheti,Kakheti PDO,2001,Gewurztraminer,15.3,0.375,off-dry,2,3,96.0,37.33,Cantina Lopes,142
36,WN-2024-RIB-0036-TM9,orange,Spain,Ribera del Duero,Ribera del Duero DO,2024,"Malbec, Gewurztraminer",13.2,0.375,dry,3,2,88.1,28.11,Winery Robert,121
