order_id,wine_id,customer_id,order_date,status,quantity
1,82,8,2025-06-20 01:42:25.576011,pending,5
2,32,15,2025-07-09 11:10:53.430884,pending,2
3,87,48,2024-11-20 11:31:56.843267,delivered,2
4,76,28,2024-11-06 08:28:08.218735,pending,1
5,12,14,2025-07-15 10:20:42.611009,pending,9
6,78,2,2025-07-09 04:14:40.959985,delivered,4
7,92,42,2025-06-26 17:55:11.483182,delivered,9
8,54,15,2025-04-06 04:16:41.746460,shipped,10
9,36,1,2025-01-30 06:51:28.958359,pending,7
10,44,18,2024-10-20 05:47:33.933154,pending,4
11,98,22,2024-12-03 08:52:19.457389,pending,2
12,49,7,2025-03-26 22:36:05.068473,shipped,6
13,78,17,2025-04-14 06:32:47.359773,pending,8
14,69,8,2025-02-19 22:52:13.681127,shipped,2
15,71,19,2024-11-12 05:38:54.792975,delivered,10
16,47,37,2025-02-07 14:33:08.115908,pending,2
17,6,43,2025-06-30 15:13:03.491129,pending,5
18,11,15,2025-01-23 06:40:00.766648,pending,7
19,36,30,2025-10-05 00:10:37.708123,delivered,6
20,21,24,2025-04-06 07:47:32.911152,shipped,4
21,86,18,2024-12-15 12:11:55.640923,delivered,2
22,78,41,2025-05-04 09:36:47.798837,pending,9
23,94,16,2025-09-13 13:42:17.592026,pending,8
24,49,18,2025-02-22 20:32:53.318740,delivered,9
25,29,44,2025-01-21 00:07:47.034997,shipped,1
26,30,3,2025-03-22 23:48:23.655455,shipped,7
27,35,5,2025-04-22 08:44:41.857404,pending,10
28,92,21,2025-03-20 10:50:38.382003,pending,8
29,51,42,2025-04-26 21:55:29.511609,shipped,3
30,34,9,2025-08-23 09:52:39.631096,pending,9
31,69,17,2025-04-09 22:44:29.441121,delivered,10
32,55,38,2025-01-23 23:30:46.144962,shipped,6
33,29,9,2025-03-20 01:16:52.670321,delivered,8
34,12,49,2025-04-09 19:56:05.717324,pending,2
35,20,41,2025-04-18 03:39:30.223376,pending,7
36,77,5,2025-04-02 21:16:20.997993,shipped,7
37,77,30,2025-07-16 04:03:38.356445,delivered,5
38,71,1,2025-05-01 03:35:47.485483,delivered,2
39,88,35,2025-07-19 18:52:02.216983,shipped,6
40,15,19,2025-03-27 15:41:28.168261,shipped,3
41,59,1,2025-01-15 04:00:12.928747,delivered,5
42,65,49,2025-07-22 12:33:47.353801,pending,9
43,14,41,2025-04-27 18:43:20.948837,shipped,9
44,78,13,2025-09-08 19:36:38.184949,pending,6
45,98,11,2025-04-18 10:29:06.909785,delivered,9
46,1,39,2025-09-09 08:03:57.299879,shipped,8
47,3,8,2024-11-13 00:37:45.173376,shipped,5
48,31,4,2025-09-07 12:58:54.095073,pending,10
49,11,6,2024-12-11 22:31:06.243079,delivered,8
50,9,49,2025-08-20 04:58:28.104186,delivered,3
51,17,43,2024-11-19 23:00:08.478999,shipped,9
52,22,17,2025-03-28 20:30:07.695208,delivered,10
53,55,14,2024-11-10 17:16:22.187950,delivered,4
54,92,20,2025-08-18 15:47:07.886099,shipped,6
55,57,34,2025-02-27 14:23:11.302255,shipped,2
56,32,15,2025-04-09 01:11:55.140778,pending,6
57,3,38,2025-07-06 10:09:05.093929,delivered,4
58,76,15,2025-02-10 11:55:03.134722,pending,2
59,91,41,2025-09-08 04:49:41.014632,pending,4
60,9,3,2024-12-14 06:48:21.752614,shipped,2
61,66,16,2025-02-21 19:14:54.073417,shipped,8
62,28,35,2025-08-15 19:01:19.550484,pending,10
63,74,31,2025-01-28 17:18:09.865454,pending,8
64,53,13,2025-06-28 01:12:43.799105,pending,2
65,85,28,2025-05-26 13:01:24.023148,shipped,7
66,53,30,2025-04-23 13:34:08.844282,delivered,1
67,87,42,2025-02-16 08:20:10.899580,delivered,2
68,8,26,2024-10-30 06:49:04.151685,delivered,6
69,14,16,2025-08-12 22:25:33.036650,pending,4
70,69,29,2025-04-25 03:23:56.531147,pending,7
71,24,18,2024-10-13 02:04:07.947023,shipped,4
72,10,29,2025-03-07 10:53:08.480811,delivered,2
73,7,42,2025-07-29 16:41:54.090471,delivered,1
74,12,49,2024-12-07 10:59:33.167813,pending,3
75,53,32,2024-10-21 09:21:55.576565,shipped,4
76,52,4,2025-03-13 05:04:58.911662,pending,7
77,1,25,2025-02-23 00:59:44.980145,shipped,8
78,37,28,2025-02-02 14:37:33.634803,delivered,9
79,85,46,2024-11-11 19:58:51.206245,shipped,3
80,25,19,2025-07-19 00:14:08.987900,pending,1
81,75,48,2025-01-26 04:11:12.399078,delivered,1
82,96,21,2025-07-06 11:39:34.264600,pending,1
83,75,31,2024-12-17 05:01:20.054301,delivered,9
84,21,4,2025-02-10 14:14:32.695121,delivered,2
85,24,5,2025-03-29 15:13:54.665780,delivered,2
86,87,16,2025-02-10 17:55:17.117320,shipped,2
87,73,16,2025-06-03 05:23:56.000987,delivered,10
88,6,40,2025-01-30 19:39:07.515363,pending,7
89,85,38,2025-06-09 12:30:49.849661,delivered,9
90,41,17,2025-04-02 06:02:25.422697,pending,6
91,31,17,2025-09-07 10:39:39.134681,shipped,3
92,86,42,2025-09-14 18:51:26.917638,shipped,8
93,41,49,2024-11-27 04:22:01.660534,pending,1
94,59,40,2025-01-15 13:36:06.996114,delivered,2
95,10,35,2024-12-22 19:19:35.357775,pending,9
96,34,9,2025-03-16 13:01:55.530205,shipped,2
97,32,24,2025-04-06 02:49:54.395043,shipped,3
98,57,35,2025-02-17 17:19:52.116089,delivered,5
99,79,42,2024-10-26 10:16:21.201879,delivered,1
100,86,36,2025-06-18 01:33:12.812861,shipped,2
